Código IBGE do Município;Sigla da Unidade da Federação;População residente, Homens, Rural, 0 a 4 anos;População residente, Homens, Rural, 5 a 9 anos;População residente, Homens, Rural, 10 a 14 anos;População residente, Homens, Rural, 15 a 19 anos;População residente, Homens, Rural, 20 a 24 anos;População residente, Homens, Rural, 25 a 29 anos;População residente, Homens, Rural, 30 a 39 anos;População residente, Homens, Rural, 40 a 49 anos;População residente, Homens, Rural, 50 a 59 anos;População residente, Homens, Rural, 60 a 69 anos;População residente, Homens, Rural, 70 anos ou mais;População residente, Homens, Urbana, 0 a 4 anos;População residente, Homens, Urbana, 5 a 9 anos;População residente, Homens, Urbana, 10 a 14 anos;População residente, Homens, Urbana, 15 a 19 anos;População residente, Homens, Urbana, 20 a 24 anos;População residente, Homens, Urbana, 25 a 29 anos;População residente, Homens, Urbana, 30 a 39 anos;População residente, Homens, Urbana, 40 a 49 anos;População residente, Homens, Urbana, 50 a 59 anos;População residente, Homens, Urbana, 60 a 69 anos;População residente, Homens, Urbana, 70 anos ou mais;População residente, Mulheres, Rural, 0 a 4 anos;População residente, Mulheres, Rural, 5 a 9 anos;População residente, Mulheres, Rural, 10 a 14 anos;População residente, Mulheres, Rural, 15 a 19 anos;População residente, Mulheres, Rural, 20 a 24 anos;População residente, Mulheres, Rural, 25 a 29 anos;População residente, Mulheres, Rural, 30 a 39 anos;População residente, Mulheres, Rural, 40 a 49 anos;População residente, Mulheres, Rural, 50 a 59 anos;População residente, Mulheres, Rural, 60 a 69 anos;População residente, Mulheres, Rural, 70 anos ou mais;População residente, Mulheres, Urbana, 0 a 4 anos;População residente, Mulheres, Urbana, 5 a 9 anos;População residente, Mulheres, Urbana, 10 a 14 anos;População residente, Mulheres, Urbana, 15 a 19 anos;População residente, Mulheres, Urbana, 20 a 24 anos;População residente, Mulheres, Urbana, 25 a 29 anos;População residente, Mulheres, Urbana, 30 a 39 anos;População residente, Mulheres, Urbana, 40 a 49 anos;População residente, Mulheres, Urbana, 50 a 59 anos;População residente, Mulheres, Urbana, 60 a 69 anos;População residente, Mulheres, Urbana, 70 anos ou mais;Total Homens;Total Mulheres;Total
311380;MG;0,053278689;0,050819672;0,049180328;0,03442623;0,03442623;0,021311475;0,07704918;0,062295082;0,044262295;0,03852459;0,025409836;0,02704918;0,040163934;0,055737705;0,048360656;0,046721311;0,040983607;0,067213115;0,071311475;0,054918033;0,030327869;0,026229508;0,041803279;0,030327869;0,044262295;0,03442623;0,046721311;0,030327869;0,054918033;0,046721311;0,044262295;0,031147541;0,036065574;0,022131148;0,049180328;0,057377049;0,055737705;0,031147541;0,03852459;0,090983607;0,079508197;0,046721311;0,05;0,043442623;1220;1227;2447
311390;MG;0,018072289;0,021084337;0,027777778;0,02643909;0,015394913;0,016900937;0,034973226;0,047523427;0,025100402;0,014223561;0,009036145;0,062751004;0,056894244;0,068105756;0,075468541;0,06375502;0,064089692;0,101907631;0,082161981;0,084839357;0,043842035;0,039658635;0,019410977;0,015394913;0,032797858;0,016733601;0,021084337;0,017068273;0,03815261;0,031961178;0,017235609;0,006526104;0,007195448;0,048025435;0,065595716;0,061914324;0,074631861;0,065763052;0,058902276;0,100736278;0,103246319;0,077811245;0,054718876;0,045682731;5976;5860;11836
311400;MG;0,012474775;0,014492754;0,02421574;0,014309301;0,01137406;0,016327279;0,035222895;0,031553843;0,025316456;0,026233719;0,014125848;0,04127683;0,055402678;0,066960191;0,070078885;0,063474592;0,066960191;0,116859292;0,117226197;0,079618419;0,045863144;0,050632911;0,008622271;0,017244542;0,018161805;0,020179784;0,00568703;0,015410017;0,032104201;0,022381214;0,026600624;0,019445973;0,013575491;0,050266006;0,057420657;0,06549257;0,061456613;0,067877454;0,055402678;0,115942029;0,121262154;0,086956522;0,057971014;0,064942212;5451;5475;10926
311410;MG;0,017403916;0,026540972;0,031327049;0,027846265;0,020594634;0,017839014;0,043364757;0,033792603;0,034227701;0,013923133;0,007396664;0,06337926;0,054097172;0,067150109;0,067150109;0,067440174;0,069325598;0,091950689;0,094561276;0,068165337;0,04902103;0,033502538;0,01928934;0,023930384;0,026540972;0,024655547;0,015808557;0,02480058;0,040029007;0,02422045;0,022770123;0,008846991;0,011167513;0,051341552;0,054387237;0,072661349;0,066424946;0,066860044;0,056997825;0,1173314;0,102538071;0,07382161;0,044234953;0,045540247;6895;6855;13750
311420;MG;0,006281157;0,007377866;0,010269192;0,013559322;0,007676969;0,017547358;0,015852443;0,018544367;0,019341974;0,013260219;0,014556331;0,057427717;0,063509472;0,081455633;0,074277168;0,080558325;0,066600199;0,143170489;0,124825523;0,078364905;0,046460618;0,039082752;0,007078764;0,014157527;0,012462612;0,007178465;0,007078764;0,012063809;0,01555334;0,012462612;0,013459621;0,014057827;0,006380857;0,052043868;0,056430708;0,079262213;0,076769691;0,070289133;0,068993021;0,141874377;0,129810568;0,087637089;0,060319043;0,049850449;10030;9982;20012
311430;MG;0,010696964;0,009700352;0,013620357;0,011294931;0,008437978;0,012158661;0,026709189;0,028635971;0,018005448;0,017739685;0,009766793;0,050229221;0,057006179;0,072752641;0,076406883;0,07002857;0,068899076;0,129160853;0,120324231;0,094943858;0,046641419;0,046840741;0,011361371;0,00950103;0,009833234;0,009633911;0,008371537;0,010298319;0,023918676;0,020131553;0,015347817;0,010696964;0,005448143;0,046242775;0,058069231;0,067968906;0,071091622;0,061989237;0,063318052;0,125705933;0,123114743;0,098797422;0,068699754;0,056009567;15051;14683;29734
311440;MG;0,020986359;0,027568444;0,027377659;0,020604789;0,025755986;0,023752743;0,049317943;0,044357531;0,034055137;0,02327578;0,019555471;0,044452924;0,041972718;0,054564533;0,062482114;0,054946103;0,057235524;0,106076505;0,101306878;0,07698178;0,051607364;0,031765716;0,021844892;0,023084995;0,028808547;0,021844892;0,015167414;0,021463322;0,042640466;0,038252409;0,024611275;0,01087475;0,013164171;0,039874082;0,040160259;0,046742345;0,059429553;0,057712487;0,054755318;0,105122579;0,098254317;0,08222837;0,052847467;0,049508728;10483;9942;20425
311450;MG;0,014155251;0,021461187;0,032534247;0,022716895;0,02956621;0,024086758;0,048173516;0,042237443;0,039383562;0,031278539;0,021232877;0,043150685;0,05239726;0,057876712;0,062671233;0,057990868;0,058447489;0,107876712;0,097374429;0,066894977;0,033219178;0,035273973;0,015981735;0,017694064;0,026826484;0,019406393;0,018493151;0,019520548;0,033219178;0,042009132;0,034018265;0,023515982;0,019178082;0,042808219;0,052853881;0,052054795;0,062785388;0,066894977;0,057534247;0,107876712;0,092465753;0,059474886;0,040182648;0,041210046;8760;8287;17047
311455;MG;0,010891903;0,020139745;0,030415125;0,026715988;0,015002055;0,014796547;0,041718044;0,04377312;0,028976572;0,019934238;0,020756268;0,04377312;0,047677764;0,047677764;0,052815454;0,073366215;0,070078093;0,120838471;0,093094945;0,080147965;0,053431977;0,043978627;0,016851624;0,021989314;0,023838882;0,017262639;0,010686395;0,010891903;0,048705302;0,036991369;0,016235101;0,019112207;0,017057131;0,041718044;0,049527333;0,053020962;0,056103576;0,062268804;0,066789971;0,102753802;0,096177559;0,086724209;0,052815454;0,03863543;4866;4604;9470
311460;MG;0,024378109;0,021890547;0,02238806;0,04278607;0,036318408;0,017412935;0,046268657;0,060696517;0,051741294;0,024875622;0,025373134;0,033830846;0,053233831;0,063681592;0,049751244;0,035323383;0,050248756;0,086567164;0,077114428;0,07761194;0,051243781;0,047263682;0,013432836;0,027860697;0,020895522;0,018905473;0,025870647;0,02039801;0,032338308;0,04278607;0,041293532;0,023880597;0,022885572;0,043283582;0,044278607;0,065671642;0,064179104;0,03880597;0,049751244;0,090049751;0,0960199;0,078606965;0,051741294;0,050248756;2010;1936;3946
