Município;Sigla da Unidade da Federação;Área da unidade territorial;Estabelecimentos de Saúde SUS;Índice de Desenvolvimento Humano Municipal - 2010 (IDHM 2010);Matrícula - Ensino fundamental - 2012;Matrícula - Ensino médio - 2012;Pessoal ocupado total;PIB per capita a preços correntes;População residente - Homens;População residente - Mulheres;População residente que frequentava creche ou escola;População residente, religião católica apostólica romana;População residente, religião espírita;População residente, religião evangélicas;Valor do rendimento nominal mediano mensal per capita dos domicílios particulares permanentes - Rural;Valor do rendimento nominal mediano mensal per capita dos domicílios particulares permanentes - Urbana;Valor do rendimento nominal médio mensal dos domicílios particulares permanentes com rendimento domiciliar, por situação do domicílio - Rural;Valor do rendimento nominal médio mensal dos domicílios particulares permanentes com rendimento domiciliar, por situação do domicílio - Urbana;Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência que exerciam o trabalho principal no município de residência;Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência que exerciam o trabalho principal em mais de um município ou país;Pessoas de 10 anos ou mais de idade, Sem instrução e fundamental incompleto - Total;Pessoas de 10 anos ou mais de idade, Fundamental completo e médio incompleto - Total;Pessoas de 10 anos ou mais de idade, Médio completo e superior incompleto - Total;Pessoas de 10 anos ou mais de idade, Superior completo - Total;Taxa de analfabetismo da população de 15 anos ou mais de idade - 2000 - total;Taxa de analfabetismo da população de 15 anos ou mais de idade - 2010 - total;Unidades domésticas por tipo - nuclear - homem com filho(s);Unidades domésticas por tipo - nuclear - mulher com filho(s)
250450;PB;280,916;3;0,594;1091;214;485;5272,86;3215;3369;1889;6078;.;300;170,5;280;782,25;1064,52;1872;22;4069;614;711;147;36,7;29,6;2,1;13
250460;PB;172,95;13;0,618;4445;543;3816;14884,48;10763;10637;7271;14635;162;4559;220;240;1422,88;1132,86;6230;122;11630;2432;2760;449;37,7;23,2;2;12,4
250470;PB;333,471;3;0,581;926;152;388;6189,52;2378;2309;1403;4216;3;414;183,33;255;707,34;956,89;1732;.;2858;429;538;104;35,1;28,5;3;16
250480;PB;379,493;6;0,592;2670;479;911;4368,64;7421;7728;4472;13264;4;1464;136,67;255;688,58;1122,64;5343;116;9290;1402;1552;420;41,5;33,4;2,1;12,7
250485;PB;169,878;2;0,641;257;65;159;5863,87;916;855;415;1589;2;170;200;340;695,14;1217,79;866;2;1042;204;261;48;27,2;21,2;2,2;14,3
250490;PB;195,596;5;0,552;3282;470;1116;5225,57;8093;8164;5100;11447;.;2627;170;222,75;816,66;936,03;3839;45;10358;1378;1312;117;43,7;33,1;1,8;11,4
250500;PB;136,967;4;0,566;1288;167;592;4274,28;3393;3473;2165;5909;.;595;152,5;213,25;682,05;893,94;2222;22;4200;713;548;104;35,8;27,8;2,1;16,5
250510;PB;741,84;18;0,591;3260;673;1543;4667,75;9833;10145;7184;17505;.;1515;136;270;784,94;1084,91;8088;66;12319;1810;2469;300;40,6;31,7;1,8;14,6
250520;PB;39,302;5;0,57;1249;222;485;4238,1;3389;3500;2175;5802;16;595;192,5;236,67;889,57;996,19;1681;76;4356;566;653;99;45,4;34,4;2,4;14,6
250523;PB;108,448;8;0,524;1577;331;523;5944,62;3100;3102;2144;5392;.;274;175;223,33;719,98;938,63;1552;22;4115;444;522;87;49,7;41,2;2,1;11,7
250527;PB;85,096;9;0,529;1114;218;375;5505,66;2632;2577;1817;4723;.;236;166,67;318;736,92;1187,07;1649;9;3485;373;348;89;55,3;40,5;3,1;13,1
250530;PB;222,957;1;0,606;388;94;131;4496,55;1304;1201;846;2354;.;144;170;219,83;1394,32;1501,89;658;5;1487;261;253;91;36,9;34,9;2,3;8,1
250535;PB;185,685;3;0,521;963;199;312;4073,66;2460;2440;1617;4334;.;441;126,67;177,5;617,67;753,96;2122;.;3315;416;241;48;48,8;39,7;1,3;11
250540;PB;179,387;3;0,58;1513;414;614;4410,42;3893;4098;2623;7488;4;397;128,8;231,67;664,58;1023,57;2940;33;4694;807;819;192;36,6;25,5;2,1;16,7
250550;PB;61,361;5;0,566;577;118;306;4300,12;1821;1691;894;3191;.;197;187,5;259;807,82;1191,87;848;87;2272;275;328;30;32,9;25,6;1,6;10,1
250560;PB;269,111;4;0,593;1169;282;474;4279,49;3331;3285;2144;6104;3;469;137,5;254;751,39;1182,12;1679;14;3820;725;880;94;37,7;30,3;2,7;10,8
250570;PB;166,17;6;0,545;1896;516;473;4186,73;5277;5240;3325;9760;.;576;103,78;250;597,07;945,5;3489;9;6503;951;1050;172;48,4;39,3;1,5;8,8
250580;PB;26,262;3;0,603;823;120;309;5874,31;1790;1848;1322;3182;7;183;143,75;250;757,05;969,43;1176;3;2196;430;354;74;44;30,6;2,2;16,2
250590;PB;240,901;1;0,595;639;127;366;5221,05;1673;1644;1274;3144;.;171;161;247,6;1079,01;986,31;1046;18;1904;308;416;64;39,9;30,4;2,7;12,7
250600;PB;163,781;20;0,623;5126;1007;4134;7304,9;15155;15940;9452;27290;115;2949;170;280;741,32;1280,25;11249;385;18011;3179;3692;867;33,5;26;1,6;13,6
250610;PB;189,026;7;0,56;2378;353;619;4271,92;5607;5798;3671;10039;.;884;142;255;659,71;1022,77;4128;.;7326;996;850;224;42,2;32,2;2,3;13,2
250620;PB;244,317;11;0,641;420;126;272;4872,5;1468;1465;730;2554;26;223;228,6;340;809,87;1531,71;1181;.;1747;341;391;45;32,6;30;1,7;10,2
250625;PB;192,406;6;0,513;1684;447;469;4275,74;4133;4243;2813;7814;.;318;124,4;170;682,24;846,32;2223;.;5731;685;420;118;41,9;32,8;1,8;13,6
250630;PB;165,744;42;0,673;9693;2815;9970;7782;26693;28633;17429;43619;205;8125;200;303,33;780,02;1554,42;19629;438;27212;6586;10423;2344;29;20,3;2,1;14,6
250640;PB;346,067;9;0,556;2564;479;935;4487,2;6920;6952;4298;11749;16;1374;170;255;795,36;946,81;3851;25;8790;1139;1334;232;48;37,8;1,4;11,3
250650;PB;343,198;2;0,625;484;121;360;5401,07;1550;1609;987;3011;10;135;200;277,5;774,11;1076,63;1425;.;1687;375;527;107;27,4;21;2,4;16,9
250660;PB;244,485;3;0,586;837;202;367;4220,93;3033;2998;1740;5663;.;305;144,4;255;689,95;942,33;1439;6;3782;478;744;112;44,4;38;2,1;15,9
250670;PB;316,984;6;0,557;2239;318;570;3798,8;5707;5645;3783;10792;28;481;155;200;745,99;946,41;3792;29;6689;1136;976;177;37;30,8;2;12,8
250680;PB;287,991;10;0,592;3176;612;1532;4727,8;8838;9342;5726;15327;9;2169;178;255;795,38;1113,76;5951;102;11269;1595;1992;265;43;36,4;1,6;14,1
250690;PB;218,848;20;0,613;4143;903;2266;5416,19;11851;12630;7572;20157;138;2924;187,67;255;908,38;1102,99;8426;250;13430;3155;3451;689;35,7;27,5;2;15,4
250700;PB;468,06;14;0,615;3772;1040;2932;5511,46;11389;11803;7452;20611;128;1790;190;300;864,94;1392;8438;80;12849;2562;2985;901;29,7;22,8;1,8;14,5
250710;PB;146,067;7;0,564;3132;577;987;6991,92;8560;8437;5889;14181;108;1638;150;225;745,38;903,44;5639;41;10717;1620;1409;283;49,7;33,6;2;10,6
250720;PB;244,222;8;0,562;1878;272;682;5727,06;5049;5152;3120;8868;11;919;175;230,2;830,75;939,69;2723;20;6451;866;898;146;47,6;38,1;2,3;12,3
250730;PB;253,009;9;0,558;2708;564;932;4684,04;6918;7024;4710;11626;5;1569;170;225;673,93;1029,47;4735;86;9029;1081;1189;282;46,1;32,9;2,4;14,1
250740;PB;179,311;4;0,603;1259;244;486;4735,27;3694;3844;2935;6691;17;446;178,33;255;741,36;1235,2;1845;31;4657;913;678;110;37,2;28,8;1,7;12,6
250750;PB;211,475;208;0,763;98023;29751;305899;13552,73;337783;385732;244062;457793;12471;173886;355;510;1187,55;3263,64;301805;2332;247309;99045;185245;85422;12,3;8,1;1,9;18
250760;PB;70,841;3;0,579;1524;308;593;4100,01;3641;3818;2332;6525;7;706;137,6;205,43;674,96;857,64;2255;15;4658;648;691;158;46,2;35,9;1,6;14
250770;PB;467,526;13;0,567;3282;418;1395;4462,12;8366;8410;5419;15021;.;1259;170;255;832,89;1076,62;6536;330;10123;1520;1518;241;33,6;26;2;13,3
250780;PB;170,42;7;0,617;1058;263;609;4266,58;3308;3335;1970;5740;69;502;202,86;247,14;823,82;1081,18;2225;26;3543;840;967;146;32;21,7;1,9;10,6
250790;PB;78,846;6;0,548;1987;612;711;5290,83;5129;5108;3286;8681;7;734;170;192,67;672,11;870,43;1711;158;6432;738;1042;135;46,6;34,3;2,1;14,1
250800;PB;403,279;6;0,57;1563;289;529;3981,02;4897;4929;2990;9254;.;422;179;255;812,08;1042,09;2158;40;6314;937;746;189;40,4;33,4;1,8;9
250810;PB;177,902;2;0,563;752;161;311;4841,65;2304;2377;1360;4074;.;451;144,5;255;668,29;931,97;1224;3;2999;461;473;22;43,2;33,8;1,8;13,9
250820;PB;84,508;6;0,57;1351;309;575;5614,83;3626;3744;2654;6706;.;441;125;250;583,98;975,58;2396;35;4706;593;708;137;41,7;31,9;2,4;12,9
250830;PB;107,589;12;0,627;3943;680;1840;4717,3;12743;13157;8609;21985;35;3195;234;270;1267,06;1574,05;8295;94;14672;2871;2920;738;30,8;21,3;2;12,3
250840;PB;102,67;4;0,533;575;114;321;5024,95;1438;1403;849;2739;.;93;170;218,57;744,89;1016,22;636;18;1982;212;189;20;38,8;31,1;1,2;6
250850;PB;260,22;3;0,566;1348;303;382;4314,2;3524;3640;2140;6501;.;595;134;246;638,39;824,93;2903;7;4290;703;705;134;30,6;23,1;1,9;13,2
250855;PB;37,996;3;0,583;619;137;240;4261,84;1938;2004;1213;3448;.;461;181,33;240;822,78;921,94;1188;19;2400;408;410;56;41,1;34,1;1,8;10,4
250860;PB;88,944;9;0,583;2303;348;1913;6721,87;5832;5898;3754;7235;20;2923;155,5;202;783,69;1179,11;2991;6;6814;1143;1230;245;34,5;25,3;1,9;12,4
250870;PB;243,754;5;0,542;610;116;270;4463,14;1964;2055;1217;3563;.;345;141,55;255;637,95;833,16;1402;.;2466;420;362;69;39,4;30,2;2,2;15,9
250880;PB;156,242;2;0,642;968;164;371;4535,82;2703;2910;1688;5020;2;398;228;273,5;2892,59;1105,76;1480;72;3240;593;727;106;36,8;28;2,6;18,6
250890;PB;340,534;20;0,585;8342;1791;4461;7153,94;20790;21513;14758;31536;187;6987;178;250,67;835,44;1217,17;12027;126;25051;4448;4356;710;38,3;27,9;1,9;13,3
250900;PB;352,57;5;0,543;2109;316;543;3819,42;5400;5359;3346;9952;9;557;120;213,75;719,97;933,12;3267;19;6703;1024;778;176;44,4;35;1,6;11,4
250905;PB;122,896;13;0,529;1880;290;770;4548,32;3894;3715;3100;6304;.;868;147,5;228,33;694;963,55;2845;8;4657;624;610;67;50;33,3;2,1;9,6
250910;PB;154,824;16;0,548;3610;544;1407;4644,05;10367;10809;7451;17804;17;2137;203;200;863,87;855,3;6238;141;13673;1645;2076;350;46,8;35,5;2,2;13,7
250915;PB;63,61;4;0,608;1025;216;360;4339,26;3016;3157;2154;5138;.;785;172,5;255;839,07;1078,25;1379;63;3512;793;709;86;37,4;27,1;1,4;12,1
250920;PB;205,957;7;0,567;2345;437;757;4288,09;6245;6657;4149;11058;57;1319;200;255;842,42;948,66;3353;27;8443;1153;961;119;43,5;30,8;1,5;13,2
250930;PB;184,299;5;0,536;1767;377;2331;8682,89;3690;3717;2596;5315;8;1051;127,5;174;663,29;879,21;1674;5;4496;686;655;71;37,9;27,1;1,7;12,3
250933;PB;38,124;8;0,541;994;183;245;5385,44;2151;2170;1409;4053;3;223;172,5;255;851,25;912,09;1554;.;2907;328;261;47;40,7;31,6;2,8;11,7
250937;PB;83,522;2;0,565;368;75;218;4585,21;1349;1353;743;2500;.;146;216,67;218,5;952,03;1034,69;671;57;1800;245;205;19;52,5;41,5;1,9;9,1
250939;PB;83,687;2;0,572;1327;256;379;4413,82;2900;3039;1938;5439;.;317;114;234;725,46;902,69;2000;5;3589;551;624;82;40,3;28,1;1,9;16
250940;PB;193,944;10;0,574;2685;524;1075;4984,94;6078;6413;4150;10295;.;1613;163,33;255;701,02;939,87;3664;24;7556;1076;1574;185;43,5;32,3;2,2;13,3
250950;PB;31,588;3;0,59;979;264;302;4396,6;2482;2508;1422;4567;.;359;127,5;255;695,06;930,45;2134;21;2985;503;505;119;34,8;25,3;1,8;13,3
250960;PB;116,173;4;0,587;859;131;275;4382,42;2262;2246;1336;4246;2;238;155,5;289,33;775,84;1206,41;1399;.;2788;477;406;63;38,2;29,5;1,7;13,6
250970;PB;986,356;28;0,628;5036;1197;2321;6150,37;14985;15867;9346;26479;171;3141;218;300;816,23;1491;12344;148;17702;3137;4101;1122;35,5;27,4;2,2;16,1
250980;PB;195,314;8;0,565;1614;252;659;4429,62;4630;4839;2965;8695;5;569;170;218,33;795,53;937,59;2412;15;6000;925;835;99;44,6;35,2;2,2;13,5
250990;PB;205,042;5;0,541;1518;217;621;4530,04;5217;5349;4036;9568;.;863;137,5;185;719,41;853,68;3474;4;6799;955;810;106;51,2;38,7;2;14,1
251000;PB;191,487;4;0,562;1224;199;556;4405,62;3631;3649;2041;6933;.;319;127,5;250;600,76;940,14;1907;26;4625;775;577;104;38,9;31,5;1,6;8,5
251010;PB;47,379;6;0,601;1724;306;662;4239,39;5121;5412;3397;8425;6;1157;185,75;233,33;872,7;1020,86;3154;284;6172;1198;1181;240;32,3;28,6;1,8;16,2
251020;PB;84,253;4;0,573;1156;205;324;4312,24;3019;3051;2027;5663;.;343;170;255;773,43;1087,76;1437;11;3751;643;514;150;38;31,8;1,7;13
251030;PB;310,352;2;0,595;682;155;394;4825,3;2163;2198;1321;3989;.;186;170;263,33;732,12;1028,44;1779;9;2653;537;403;81;27,6;24,7;2,8;11
251040;PB;596,129;4;0,572;1259;295;483;4310,44;3352;3579;2179;6765;.;161;124,4;231,43;612,65;1004,05;1864;86;4293;750;578;149;40,2;33,6;1,9;11,1
251050;PB;317,915;3;0,603;643;148;253;4764,1;1853;1774;1108;3334;.;278;127,5;255;572,7;929,29;781;9;1998;454;559;61;31,5;19,4;1,9;11,8
251060;PB;129,4;1;0,614;373;102;335;5107,67;1470;1458;859;2580;.;235;230;274,75;865,74;1026,65;1111;1;1567;349;482;80;29,6;22,9;2,9;14,3
251065;PB;128,484;2;0,584;259;56;229;7630,03;621;635;406;1202;.;43;340;255;940,17;972,58;494;.;793;87;151;25;24,1;20,9;3,1;13,6
251070;PB;111,876;3;0,62;361;70;352;5990,84;1107;1126;701;2022;.;138;180;228;820,5;1048,03;546;7;1229;231;325;51;32,5;29,2;2;15,1
251080;PB;473,056;49;0,701;15765;4624;13048;6879,66;47805;52869;30562;85319;332;10581;200;325;905,93;1806,6;37049;1420;46564;13019;19428;5308;24,9;18,5;1,9;17,4
251090;PB;576,9;10;0,587;1670;375;690;5028,91;5829;5959;3070;10920;.;612;200;282;907,6;1312,83;4381;170;7523;1199;1120;224;41,9;32,2;1,2;11,2
251100;PB;112,933;2;0,599;762;234;328;4615,81;1847;1874;1161;3437;.;263;127,5;226,4;749,1;889,62;671;.;2064;411;513;76;31,1;25,6;2,1;13
251110;PB;351,68;4;0,574;1219;320;747;4582,74;3734;3741;2284;6485;2;502;189;255;758,78;1100,94;3144;38;4738;758;629;121;35,6;27,8;1,9;12,2
251120;PB;400,39;17;0,59;5042;821;4248;10110,74;13467;13565;9985;20088;76;4130;167,5;239,5;844,78;1159,47;8217;183;16399;2962;2509;480;44,9;30,3;2,1;11,7
251130;PB;564,735;17;0,621;2609;769;1025;5385,55;7388;8077;5419;14140;30;960;117,5;275;729,04;1244,42;5392;110;8350;1874;2250;450;35,9;29,3;2,4;13,3
251140;PB;661,658;17;0,608;3323;995;1424;4638,84;8953;9269;5692;15469;9;1684;184;260;705,79;1258,29;6484;121;10705;2137;1951;359;35;24,7;1,7;12,4
251150;PB;102,399;9;0,579;2289;348;687;4385,99;5499;5692;3720;8726;.;1674;165,64;186,67;761,67;876,35;2797;11;6875;1082;1131;218;40,1;31,6;2,7;13,3
251160;PB;64,446;4;0,56;1565;300;539;4881,87;3517;3461;2486;6555;.;338;125,71;255;782;1333,88;2428;.;4329;567;611;113;45,9;36,2;2,7;12,7
251170;PB;43,901;4;0,564;928;183;286;4695,58;2543;2612;1683;4918;.;141;170;235;809,86;835,29;1743;.;3313;386;466;72;50,3;33,2;1,4;11,9
251180;PB;79,844;6;0,595;1736;281;639;4379,46;5114;5212;3368;9106;10;802;157,5;234;752,74;1041,29;2560;47;5904;1000;1364;252;37,9;29,9;2,3;13,2
251190;PB;136,435;6;0,57;2619;338;1008;5543,18;8609;8415;5872;8917;40;3728;142,4;186,8;731,73;899,88;5707;5;9877;1731;1583;263;38,5;27,6;2,7;13,1
251200;PB;628,084;8;0,591;2948;483;1199;4495,65;8490;8542;5320;14910;6;1481;200;254,33;847,35;979,98;5735;46;10141;1669;1823;214;34,1;25,2;1,6;11,9
251203;PB;97,25;3;0,525;895;198;344;4039,68;1905;1846;1482;3376;.;335;149,29;203,33;645,62;960,76;1063;1;2354;379;307;16;53,5;36,5;1,9;8,6
251207;PB;100,971;5;0,612;736;152;453;4818,97;1933;2045;1434;3672;.;276;255;288;939,38;1077,99;1415;4;2359;440;514;57;36,9;27;1,8;13,3
251210;PB;888,807;17;0,634;4886;1429;2453;5726,03;15381;16729;10175;28133;13;3037;170;300;746,93;1483,46;10648;193;18423;3505;4146;1364;31,8;26,1;2,2;13,8
251220;PB;192,011;3;0,608;584;84;398;5019,26;1926;1928;1171;3281;.;447;184,4;270;800,42;982,08;1488;17;2187;470;421;113;35,1;23,5;1,6;15,7
251230;PB;367,975;18;0,606;2850;771;1547;4391,69;10448;10835;7470;19950;31;870;250;300;984,42;1291;7033;53;12235;2640;2301;542;32,8;25,3;1,4;12,9
251240;PB;72,68;13;0,617;2272;396;1042;4719,15;6356;6567;4099;10835;16;1567;207,33;335,38;927,29;1152,89;4417;47;7133;1498;1654;202;28,1;21,6;1,6;13
251250;PB;401,776;24;0,608;6841;1604;3409;5432,31;19936;21113;14618;31151;31;7123;237,33;255;917,24;1092,17;11335;105;23669;5143;4796;582;32,3;22,6;1,6;14,1
251260;PB;156,683;2;0,622;293;90;266;5395,9;893;806;535;1554;.;145;217,33;266;990,72;1184,91;520;.;956;232;221;16;34,4;26,2;1,1;8,4
251270;PB;177,999;8;0,607;3243;600;1377;4513,27;8379;9202;5824;15351;45;1430;105,5;282;597,7;1306,76;5388;357;10563;1404;1929;470;38,7;30,7;1,7;16
251272;PB;73,56;2;0,542;924;176;358;4573,02;2890;2875;1917;4955;.;559;170;204;700,56;800,58;1541;3;3803;503;350;81;52,2;42,9;1,3;12,6
251274;PB;90,151;4;0,574;625;142;334;4693,94;1602;1664;1100;3158;.;94;116,67;200;601,15;777,58;677;.;2006;324;318;38;45;31,5;0,6;13,2
251275;PB;38,37;3;0,553;835;67;432;4845,99;2082;2182;1489;3499;.;590;170;255;625,86;1067,87;1266;.;2692;463;318;51;43,4;35,8;1,2;12,5
251276;PB;39,905;3;0,555;894;181;288;5002,11;2086;2078;1425;3643;.;421;188,5;238,5;859,31;780,41;1603;18;2626;401;361;29;44,3;33,6;3,2;10,7
251278;PB;91,324;3;0,594;374;48;233;6273,78;871;851;581;1536;2;157;194,89;255;860,5;1056,36;650;20;1005;163;207;38;37,4;24,6;1,6;15,6
251280;PB;264,025;3;0,568;1219;269;416;4106,77;4242;4072;2308;6976;.;887;166;226,8;720,99;1105,23;3118;162;5289;955;618;139;42,9;32,6;1,2;9,3
251290;PB;464,886;13;0,585;3784;685;2948;6501,01;11310;11666;7632;17667;41;2921;138,5;268,33;646,84;1200,97;6784;7;13076;2216;3447;464;33,7;26,6;1,9;13,1
251300;PB;184,24;4;0,563;600;100;273;4127,11;1782;1726;1230;3139;.;280;191,25;177,5;791,05;857,56;1167;.;2131;322;295;68;41,5;33;2,1;10,8
251310;PB;201,854;8;0,568;2207;283;730;3917,21;5836;6140;3952;10575;.;1000;170;200,5;708,8;854,05;3531;16;7746;985;1130;169;43,8;36,9;2,1;11,6
251315;PB;227,875;3;0,525;1453;248;451;4467,75;3409;3249;2375;6278;.;332;147;241,67;667,39;904,59;3159;29;4447;473;426;69;50,3;35,6;1,6;11,3
251320;PB;210,165;6;0,618;807;173;515;4574,2;3283;3188;1815;6105;.;308;204;335,5;793,06;1241,86;1923;50;3884;726;876;90;30,4;28,2;2,9;9,5
251330;PB;210,322;4;0,609;1036;135;420;4623,9;2626;2743;1737;4973;.;326;175;300;765,56;1021,46;1631;17;3209;582;666;131;35,1;26,1;2,5;13,9
251335;PB;324,425;3;0,572;576;87;277;4036,74;1823;1716;1100;3380;.;130;142;170;698,13;1015,5;1197;.;2060;425;347;81;44,6;32,2;2,2;8,5
251340;PB;455,702;11;0,682;2337;589;1724;5233,16;7138;7581;4462;12686;175;1079;175;290;805,83;1330,42;4801;175;7183;1570;2873;720;26,2;20;2,4;15,6
251350;PB;402,152;3;0,535;1101;236;291;4351,88;2697;2634;1605;4907;.;353;87,33;196,67;540,41;776,86;1295;4;3452;436;409;106;46,1;36,3;1,4;12,1
251360;PB;353,815;5;0,594;1069;368;442;4321,62;3512;3754;2190;6827;.;435;196;296,67;782,44;1197,74;2251;9;4379;810;814;173;35,8;35,2;2,6;9,2
251365;PB;74,007;4;0,622;406;98;279;4755,94;1268;1347;928;2323;.;256;244,67;200;924,6;786,19;857;6;1476;268;434;29;37,4;35,9;1,9;11,6
251370;PB;726,847;52;0,627;21415;4603;18886;10361,06;58119;62191;39135;67346;403;31022;178,8;266,67;838,85;1253,27;27833;230;62505;15535;18901;2201;29,3;20,6;1,8;15
251380;PB;357,953;3;0,627;836;214;513;5200,53;2276;2305;1480;4255;.;299;175;255;734,34;1542,37;1070;14;2759;486;536;83;35,8;27,1;1,9;13,4
251385;PB;225,169;2;0,6;401;114;248;5132,66;1337;1301;758;2116;4;50;200;306,25;822,43;1172,09;1402;6;1675;254;307;30;29,5;27,2;3,1;14,4
251390;PB;248,2;19;0,58;5544;880;2688;6243,38;15220;15659;8699;26351;10;2818;170,5;266,67;773,37;1304,97;13511;479;19943;2912;2336;607;38,5;33,6;1,5;14,1
251392;PB;195,965;2;0,606;598;93;301;4964,52;2015;2123;1178;3763;.;294;255;255;933,72;1024,53;1121;24;2509;533;374;52;34,6;32,8;3;13,5
251394;PB;218,801;1;0,589;447;95;165;5087,01;1212;1208;685;2183;.;169;259;326;1203,7;1113,89;977;2;1573;236;160;75;27,6;23,8;2,7;13,6
251396;PB;169,105;1;0,548;460;66;227;5135,57;1412;1443;826;2524;.;268;196;245;842,45;1046,88;1022;4;1954;284;188;22;41;38,6;2,5;9,4
251398;PB;95,055;2;0,58;509;150;224;4829,41;1660;1704;950;3221;15;116;202,5;255;794,05;1012,57;999;5;2187;310;346;53;35,6;31,5;2,1;10,6
251400;PB;653,602;6;0,622;736;131;907;5256,46;2120;2224;1291;3811;.;447;260;258,5;1046,83;1421,52;1604;23;2557;459;540;123;24,7;18,7;2,4;17,7
251410;PB;816,116;3;0,552;870;91;222;4296,04;2247;2149;1383;3809;.;149;142;232,25;606,74;776,97;1813;.;2790;423;313;53;46,8;35,8;3,7;14,4
251420;PB;341,805;2;0,53;1242;187;518;4367,97;3680;3884;2097;7009;.;462;163,33;231,6;662,12;879,67;2374;45;5041;508;686;96;49,6;42,4;1,8;9,1
251430;PB;176,327;4;0,565;1277;167;372;3984,56;3052;2958;2038;5466;.;486;170,88;270;884,54;1107,54;1515;3;3701;613;474;81;42,6;32,2;1,7;7,7
251440;PB;725,656;5;0,577;682;155;395;5485,37;2501;2259;1338;4494;.;217;170,67;256;785,75;1023,39;1325;13;2933;491;482;37;34,2;32;2;9
251445;PB;98,232;4;0,541;1074;197;395;4342,53;2759;2749;1926;4876;20;356;151,25;205,5;699,72;925,27;1680;4;3626;467;385;88;53;38,4;1,7;9,8
251450;PB;677,305;8;0,591;3239;581;1188;4940,43;9529;9567;5838;16883;.;1950;202,5;336,67;888,86;1338,84;5790;116;12020;1714;1879;421;35,2;25;2;10,5
251455;PB;158,023;2;0,565;528;76;184;4290,47;2139;2080;1259;4084;.;116;198,75;220,67;870,16;1100,46;1003;46;2686;485;281;62;35,7;31,1;2,5;7,9
251460;PB;134,724;2;0,578;562;118;160;4380,24;1626;1607;922;2971;2;250;160;315;697,01;1176,02;754;68;1904;338;365;40;38,7;26,6;2,1;13,7
251465;PB;253,019;1;0,581;366;89;221;5900,4;849;835;588;1555;.;109;185;178;887,28;936,77;483;.;1026;158;189;25;39,7;27,9;1,2;11,6
251470;PB;206,915;4;0,617;591;203;423;5119,66;2042;1968;1143;3592;4;324;225,2;280;1021,94;1109,31;1404;39;2285;445;573;104;30;27,2;1,6;11,7
251480;PB;417,745;1;0,556;569;55;260;4255,38;1982;2003;1194;3608;.;297;158;255;665,94;864,59;1668;3;2688;373;229;36;30,5;22,6;1,9;14,4
251490;PB;530,728;5;0,641;1177;234;722;4975,71;3837;3911;2145;6820;3;804;232,5;300;907,54;1316,21;2486;12;4226;816;1248;245;29,6;24,8;2,1;14,5
251500;PB;92,526;3;0,548;1421;194;496;4143,67;3341;3355;2257;5074;.;1080;146,75;184,4;763,22;832,4;2238;6;4210;653;500;84;46,4;40,9;1,5;10,4
251510;PB;49,923;9;0,594;1974;402;776;4243,64;5423;5618;3259;9802;7;882;170;294;754,53;1207,38;4003;15;6722;1150;974;287;35,1;26;1,4;12,3
251520;PB;460,573;1;0,581;505;85;231;4872,49;1616;1619;1062;3021;3;198;175;277,5;744,05;870,9;1536;19;1993;295;345;67;40,2;25,1;3,2;14,9
251530;PB;315,532;32;0,569;8547;1538;4736;5227,67;24653;25490;16281;40023;130;5940;163;236,67;850,06;1041,3;13267;223;30073;5137;5631;960;39,8;30,8;2,5;13,3
251540;PB;276,471;5;0,555;2028;357;608;3743,97;5261;4969;3267;8643;.;945;163,33;204,67;812,35;927,17;3384;6;6297;1080;776;156;34,7;22,9;2,7;10,3
251550;PB;686,915;12;0,628;1993;460;884;5169,45;6334;6639;4127;11472;58;1111;223,33;324;877,72;1152,49;4976;55;7387;1297;1920;400;27;19,9;2;17,1
251560;PB;29,082;4;0,626;497;93;348;4811,68;1595;1609;1115;2909;.;168;226,4;200;927,03;1052,29;1057;9;1791;371;444;49;40,4;31,8;3,4;10,8
251570;PB;83,474;1;0,586;552;136;210;4478,32;1502;1473;939;2677;.;254;150;255;748,98;920,61;991;4;1789;361;307;40;41,3;30,8;1,6;11,7
251580;PB;55,905;5;0,57;1224;200;644;5170,75;3359;3691;2265;6022;11;615;200;267,5;829,47;945,34;2589;6;4580;612;670;111;40;31,9;2,1;14,9
251590;PB;65,299;4;0,547;1014;157;373;5527,52;3092;3146;2029;5820;.;346;140;250;691,43;940,83;2257;3;4016;519;496;87;44,7;41,2;2,1;15,9
251593;PB;32,798;4;0,621;892;204;371;5796,71;2143;2252;1557;3639;.;257;156,67;255;713,85;928,73;1333;14;2486;481;568;129;36,2;28,4;2,3;11,5
251597;PB;61,743;3;0,573;1312;190;495;4661,18;3679;3694;2104;6071;3;612;170;275;767,12;1166,27;2274;17;4633;763;729;63;44,8;33,3;1,8;10,9
251600;PB;232,096;14;0,595;4377;741;1963;4460,33;12764;13929;8288;22783;19;2952;120;255;617,27;1325;8729;128;16059;2629;2599;798;42,9;31,2;1,9;15,9
251610;PB;560,042;10;0,616;2478;371;1576;5483,86;6770;6969;4099;11662;30;1414;255;255;961,1;1232,55;4964;119;7785;1508;1810;261;27,5;20,1;1,5;15,1
251615;PB;154,748;1;0,573;662;135;355;4783,42;1581;1588;1124;2292;6;533;150;255;691,22;855,05;1197;2;1985;315;247;31;44,3;31,3;1,9;11,7
